meta_id,table_name_en,table_name_ko,field_name_en,field_name_ko,table_description,field_description,source_file,created_at,updated_at
1,TB_USER,사용자,user_id,사용자ID,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,"사용자를 고유하게 식별하는 기본키. 학생은 영문 이니셜+일련번호, 컨설턴트는 접미 C 규칙을 사용한다.",e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
2,TB_USER,사용자,email,이메일,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,로그인 및 계정 식별에 사용하는 이메일 주소,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
3,TB_USER,사용자,user_type,사용자유형,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,학생/컨설턴트 구분 값,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
4,TB_USER,사용자,phone,전화번호,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,사용자 연락처,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
5,TB_USER,사용자,user_alias,표시명,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,화면에 노출하는 사용자명 또는 별칭,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
6,TB_USER,사용자,created_at,생성일시,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,계정 생성 시각,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
7,TB_USER,사용자,last_login_at,최종로그인일시,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,마지막 로그인 시각,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
8,TB_USER,사용자,is_active,활성여부,Uni-Mate 서비스에 접속하는 학생 및 컨설턴트의 기본 계정 정보를 관리하는 테이블,"계정 활성 상태 값. 1은 활성, 0은 비활성",e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
9,TB_STUDENT_PROFILE,학생프로필,student_id,학생ID,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 프로필을 고유하게 식별하는 기본키,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
10,TB_STUDENT_PROFILE,학생프로필,user_id,사용자ID,학생 1명당 1건의 기본 프로필과 내신/학생생활기록부 요약 정보를 저장하는 기준 테이블,학생 사용자 계정과 연결되는 외래키,e:\sangyun\200 AI기획(20251223~20260514)\프로젝트진행\70 프로세스 설계\Uni-Mate Meta 20260424.xlsx,2026-04-25 16:06:10,2026-04-25 16:06:10
